Område- och stationsnummer;Stationens namn;Datum för mätning;Grundvattennivå (cm u. röröverkant);Grundvattennivå (m ö.h.);Grundvattennivå (m under markyta);Startdatum för mätning;Slutdatum för mätning;Jordart;Akvifertyp;Topografiskt läge;Referensnivå för röröverkant (m ö.h.);Rörhöjd ovan mark (m);Total rörlängd (m);Metod för mätning;Kommunkod;EUCD för grundvattenförekomst;N;E;Nivåmätningskvalitet
52_2;Kungsbacka_2;1973-10-16 00:00:00;254.00;51.59;1.39;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1973-11-23 00:00:00;166.00;52.47;0.51;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1973-12-17 00:00:00;174.00;52.39;0.59;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1974-01-17 00:00:00;157.00;52.56;0.42;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1974-02-01 00:00:00;161.00;52.52;0.46;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1974-02-15 00:00:00;161.00;52.52;0.46;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1974-03-05 00:00:00;168.00;52.45;0.53;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1974-03-18 00:00:00;173.00;52.40;0.58;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1974-04-03 00:00:00;177.00;52.36;0.62;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1974-04-16 00:00:00;182.00;52.31;0.67;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1974-05-03 00:00:00;206.00;52.07;0.91;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1974-05-21 00:00:00;220.00;51.93;1.05;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1974-06-03 00:00:00;221.00;51.92;1.06;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1974-06-15 00:00:00;233.00;51.80;1.18;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
