Timestamp;Date;Time;Date_time;ms;LEVEL;TEMPERATURE;CONDUCTIVITY;relative level
43364,33;2018-09-21;08:00:00;2018-09-21 08:00;0;4,447;6,6;110;0,078
43364,38;2018-09-21;09:00:00;2018-09-21 09:00;0;4,406;6,6;110;0,037
43364,42;2018-09-21;10:00:00;2018-09-21 10:00;0;4,417;6,6;110;0,048
43364,46;2018-09-21;11:00:00;2018-09-21 11:00;0;4,413;6,6;110;0,044
43364,50;2018-09-21;12:00:00;2018-09-21 12:00;0;4,42;6,6;110;0,051
43364,54;2018-09-21;13:00:00;2018-09-21 13:00;0;4,429;6,6;110;0,06
43364,58;2018-09-21;14:00:00;2018-09-21 14:00;0;4,409;6,6;110;0,04
43364,63;2018-09-21;15:00:00;2018-09-21 15:00;0;4,388;6,6;110;0,019
43364,67;2018-09-21;16:00:00;2018-09-21 16:00;0;4,445;6,6;110;0,076
43364,71;2018-09-21;17:00:00;2018-09-21 17:00;0;4,422;6,6;110;0,053
43364,75;2018-09-21;18:00:00;2018-09-21 18:00;0;4,435;6,6;110;0,066
43364,79;2018-09-21;19:00:00;2018-09-21 19:00;0;4,425;6,6;109;0,056
43364,83;2018-09-21;20:00:00;2018-09-21 20:00;0;4,433;6,6;110;0,064
43364,88;2018-09-21;21:00:00;2018-09-21 21:00;0;4,42;6,6;109;0,051
43364,92;2018-09-21;22:00:00;2018-09-21 22:00;0;4,405;6,6;110;0,036
43364,96;2018-09-21;23:00:00;2018-09-21 23:00;0;4,42;6,6;109;0,051
43365,00;2018-09-22;00:00:00;2018-09-22 00:00;0;4,413;6,6;110;0,044
43365,04;2018-09-22;01:00:00;2018-09-22 01:00;0;4,421;6,6;109;0,052
43365,08;2018-09-22;02:00:00;2018-09-22 02:00;0;4,398;6,6;109;0,029
43365,13;2018-09-22;03:00:00;2018-09-22 03:00;0;4,414;6,6;109;0,045
43365,17;2018-09-22;04:00:00;2018-09-22 04:00;0;4,416;6,6;109;0,047
43365,21;2018-09-22;05:00:00;2018-09-22 05:00;0;4,411;6,6;109;0,042
43365,25;2018-09-22;06:00:00;2018-09-22 06:00;0;4,395;6,6;109;0,026
43365,29;2018-09-22;07:00:00;2018-09-22 07:00;0;4,414;6,6;109;0,045
43365,33;2018-09-22;08:00:00;2018-09-22 08:00;0;4,415;6,6;109;0,046
43365,38;2018-09-22;09:00:00;2018-09-22 09:00;0;4,423;6,6;109;0,054
43365,42;2018-09-22;10:00:00;2018-09-22 10:00;0;4,422;6,6;109;0,053
43365,46;2018-09-22;11:00:00;2018-09-22 11:00;0;4,411;6,6;109;0,042
43365,50;2018-09-22;12:00:00;2018-09-22 12:00;0;4,426;6,6;109;0,057
43365,54;2018-09-22;13:00:00;2018-09-22 13:00;0;4,425;6,6;109;0,056
43365,58;2018-09-22;14:00:00;2018-09-22 14:00;0;4,406;6,6;109;0,037
43365,63;2018-09-22;15:00:00;2018-09-22 15:00;0;4,412;6,6;109;0,043
43365,67;2018-09-22;16:00:00;2018-09-22 16:00;0;4,442;6,6;109;0,073
43365,71;2018-09-22;17:00:00;2018-09-22 17:00;0;4,411;6,6;109;0,042
43365,75;2018-09-22;18:00:00;2018-09-22 18:00;0;4,436;6,6;109;0,067
43365,79;2018-09-22;19:00:00;2018-09-22 19:00;0;4,417;6,6;109;0,048
43365,83;2018-09-22;20:00:00;2018-09-22 20:00;0;4,408;6,6;109;0,039
43365,88;2018-09-22;21:00:00;2018-09-22 21:00;0;4,436;6,6;109;0,067
43365,92;2018-09-22;22:00:00;2018-09-22 22:00;0;4,411;6,6;109;0,042
43365,96;2018-09-22;23:00:00;2018-09-22 23:00;0;4,438;6,6;109;0,069
43366,00;2018-09-23;00:00:00;2018-09-23 00:00;0;4,405;6,6;109;0,036
43366,04;2018-09-23;01:00:00;2018-09-23 01:00;0;4,434;6,6;109;0,065
43366,08;2018-09-23;02:00:00;2018-09-23 02:00;0;4,426;6,6;109;0,057
43366,13;2018-09-23;03:00:00;2018-09-23 03:00;0;4,421;6,6;109;0,052
43366,17;2018-09-23;04:00:00;2018-09-23 04:00;0;4,435;6,6;109;0,066
43366,21;2018-09-23;05:00:00;2018-09-23 05:00;0;4,443;6,6;109;0,074
43366,25;2018-09-23;06:00:00;2018-09-23 06:00;0;4,442;6,6;109;0,073
43366,29;2018-09-23;07:00:00;2018-09-23 07:00;0;4,441;6,6;109;0,072
43366,33;2018-09-23;08:00:00;2018-09-23 08:00;0;4,433;6,6;109;0,064
43366,38;2018-09-23;09:00:00;2018-09-23 09:00;0;4,417;6,6;109;0,048
43366,42;2018-09-23;10:00:00;2018-09-23 10:00;0;4,427;6,6;109;0,058
43366,46;2018-09-23;11:00:00;2018-09-23 11:00;0;4,418;6,6;109;0,049
43366,50;2018-09-23;12:00:00;2018-09-23 12:00;0;4,445;6,6;109;0,076
43366,54;2018-09-23;13:00:00;2018-09-23 13:00;0;4,439;6,6;109;0,07
43366,58;2018-09-23;14:00:00;2018-09-23 14:00;0;4,438;6,6;109;0,069
43366,63;2018-09-23;15:00:00;2018-09-23 15:00;0;4,421;6,6;108;0,052
43366,67;2018-09-23;16:00:00;2018-09-23 16:00;0;4,447;6,6;108;0,078
43366,71;2018-09-23;17:00:00;2018-09-23 17:00;0;4,423;6,6;109;0,054
43366,75;2018-09-23;18:00:00;2018-09-23 18:00;0;4,425;6,6;108;0,056
43366,79;2018-09-23;19:00:00;2018-09-23 19:00;0;4,418;6,6;108;0,049
43366,83;2018-09-23;20:00:00;2018-09-23 20:00;0;4,426;6,6;108;0,057
43366,88;2018-09-23;21:00:00;2018-09-23 21:00;0;4,432;6,6;109;0,063
43366,92;2018-09-23;22:00:00;2018-09-23 22:00;0;4,431;6,6;108;0,062
43366,96;2018-09-23;23:00:00;2018-09-23 23:00;0;4,451;6,6;108;0,082
43367,00;2018-09-24;00:00:00;2018-09-24 00:00;0;4,424;6,6;108;0,055
43367,04;2018-09-24;01:00:00;2018-09-24 01:00;0;4,434;6,6;108;0,065
43367,08;2018-09-24;02:00:00;2018-09-24 02:00;0;4,425;6,6;108;0,056
43367,13;2018-09-24;03:00:00;2018-09-24 03:00;0;4,423;6,6;108;0,054
43367,17;2018-09-24;04:00:00;2018-09-24 04:00;0;4,431;6,6;108;0,062
43367,21;2018-09-24;05:00:00;2018-09-24 05:00;0;4,434;6,6;108;0,065
43367,25;2018-09-24;06:00:00;2018-09-24 06:00;0;4,419;6,6;108;0,05
43367,29;2018-09-24;07:00:00;2018-09-24 07:00;0;4,44;6,6;108;0,071
43367,33;2018-09-24;08:00:00;2018-09-24 08:00;0;4,43;6,6;108;0,061
43367,38;2018-09-24;09:00:00;2018-09-24 09:00;0;4,419;6,6;108;0,05
43367,42;2018-09-24;10:00:00;2018-09-24 10:00;0;4,42;6,6;108;0,051
43367,46;2018-09-24;11:00:00;2018-09-24 11:00;0;4,437;6,6;108;0,068
43367,50;2018-09-24;12:00:00;2018-09-24 12:00;0;4,414;6,6;108;0,045
43367,54;2018-09-24;13:00:00;2018-09-24 13:00;0;4,427;6,6;108;0,058
43367,58;2018-09-24;14:00:00;2018-09-24 14:00;0;4,421;6,6;108;0,052
43367,63;2018-09-24;15:00:00;2018-09-24 15:00;0;4,427;6,6;108;0,058
43367,67;2018-09-24;16:00:00;2018-09-24 16:00;0;4,423;6,6;108;0,054
43367,71;2018-09-24;17:00:00;2018-09-24 17:00;0;4,415;6,6;108;0,046
43367,75;2018-09-24;18:00:00;2018-09-24 18:00;0;4,438;6,6;108;0,069
43367,79;2018-09-24;19:00:00;2018-09-24 19:00;0;4,418;6,6;108;0,049
43367,83;2018-09-24;20:00:00;2018-09-24 20:00;0;4,429;6,6;108;0,06
43367,88;2018-09-24;21:00:00;2018-09-24 21:00;0;4,439;6,6;108;0,07
43367,92;2018-09-24;22:00:00;2018-09-24 22:00;0;4,445;6,6;108;0,076
43367,96;2018-09-24;23:00:00;2018-09-24 23:00;0;4,436;6,6;108;0,067
43368,00;2018-09-25;00:00:00;2018-09-25 00:00;0;4,435;6,6;108;0,066
43368,04;2018-09-25;01:00:00;2018-09-25 01:00;0;4,451;6,6;108;0,082
43368,08;2018-09-25;02:00:00;2018-09-25 02:00;0;4,434;6,6;108;0,065
43368,13;2018-09-25;03:00:00;2018-09-25 03:00;0;4,44;6,6;108;0,071
43368,17;2018-09-25;04:00:00;2018-09-25 04:00;0;4,439;6,6;108;0,07
43368,21;2018-09-25;05:00:00;2018-09-25 05:00;0;4,44;6,6;108;0,071
43368,25;2018-09-25;06:00:00;2018-09-25 06:00;0;4,435;6,6;108;0,066
43368,29;2018-09-25;07:00:00;2018-09-25 07:00;0;4,435;6,6;108;0,066
43368,33;2018-09-25;08:00:00;2018-09-25 08:00;0;4,43;6,6;108;0,061
43368,38;2018-09-25;09:00:00;2018-09-25 09:00;0;4,421;6,6;108;0,052
43368,42;2018-09-25;10:00:00;2018-09-25 10:00;0;4,432;6,6;108;0,063
43368,46;2018-09-25;11:00:00;2018-09-25 11:00;0;4,425;6,6;108;0,056
43368,50;2018-09-25;12:00:00;2018-09-25 12:00;0;4,433;6,6;108;0,064
43368,54;2018-09-25;13:00:00;2018-09-25 13:00;0;4,438;6,6;108;0,069
43368,58;2018-09-25;14:00:00;2018-09-25 14:00;0;4,433;6,6;108;0,064
43368,63;2018-09-25;15:00:00;2018-09-25 15:00;0;4,44;6,6;108;0,071
43368,67;2018-09-25;16:00:00;2018-09-25 16:00;0;4,439;6,6;108;0,07
43368,71;2018-09-25;17:00:00;2018-09-25 17:00;0;4,429;6,6;108;0,06
43368,75;2018-09-25;18:00:00;2018-09-25 18:00;0;4,444;6,6;108;0,075
43368,79;2018-09-25;19:00:00;2018-09-25 19:00;0;4,42;6,6;108;0,051
43368,83;2018-09-25;20:00:00;2018-09-25 20:00;0;4,421;6,6;108;0,052
43368,88;2018-09-25;21:00:00;2018-09-25 21:00;0;4,417;6,6;108;0,048
43368,92;2018-09-25;22:00:00;2018-09-25 22:00;0;4,417;6,6;108;0,048
43368,96;2018-09-25;23:00:00;2018-09-25 23:00;0;4,43;6,6;108;0,061
43369,00;2018-09-26;00:00:00;2018-09-26 00:00;0;4,425;6,6;108;0,056
43369,04;2018-09-26;01:00:00;2018-09-26 01:00;0;4,432;6,6;108;0,063
43369,08;2018-09-26;02:00:00;2018-09-26 02:00;0;4,433;6,6;107;0,064
43369,13;2018-09-26;03:00:00;2018-09-26 03:00;0;4,418;6,6;108;0,049
