Timestamp;Date;Time;Date_time;ms;LEVEL;TEMPERATURE;CON_UCTIVITY;relative level
43361,96;2018-09-18;23:00:00;2018-09-18 23:00;0;7,347;6,6;350;0,044
43362,00;2018-09-19;00:00:00;2018-09-19 00:00;0;7,36;6,6;351;0,057
43362,04;2018-09-19;01:00:00;2018-09-19 01:00;0;7,329;6,6;351;0,026
43362,08;2018-09-19;02:00:00;2018-09-19 02:00;0;7,341;6,6;351;0,038
43362,13;2018-09-19;03:00:00;2018-09-19 03:00;0;7,341;6,6;351;0,038
43362,17;2018-09-19;04:00:00;2018-09-19 04:00;0;7,356;6,6;350;0,053
43362,21;2018-09-19;05:00:00;2018-09-19 05:00;0;7,352;6,6;351;0,049
43362,25;2018-09-19;06:00:00;2018-09-19 06:00;0;7,347;6,6;350;0,044
43362,29;2018-09-19;07:00:00;2018-09-19 07:00;0;7,376;6,6;349;0,073
43362,33;2018-09-19;08:00:00;2018-09-19 08:00;0;7,353;6,6;350;0,05
43362,38;2018-09-19;09:00:00;2018-09-19 09:00;0;7,354;6,6;350;0,051
43362,42;2018-09-19;10:00:00;2018-09-19 10:00;0;7,352;6,6;350;0,049
43362,46;2018-09-19;11:00:00;2018-09-19 11:00;0;7,352;6,6;350;0,049
43362,50;2018-09-19;12:00:00;2018-09-19 12:00;0;7,369;6,6;350;0,066
43362,54;2018-09-19;13:00:00;2018-09-19 13:00;0;7,333;6,6;350;0,03
43362,58;2018-09-19;14:00:00;2018-09-19 14:00;0;7,357;6,6;350;0,054
43362,63;2018-09-19;15:00:00;2018-09-19 15:00;0;7,345;6,6;351;0,042
43362,67;2018-09-19;16:00:00;2018-09-19 16:00;0;7,347;6,6;351;0,044
43362,71;2018-09-19;17:00:00;2018-09-19 17:00;0;7,357;6,6;351;0,054
43362,75;2018-09-19;18:00:00;2018-09-19 18:00;0;7,354;6,6;350;0,051
43362,79;2018-09-19;19:00:00;2018-09-19 19:00;0;7,364;6,6;350;0,061
43362,83;2018-09-19;20:00:00;2018-09-19 20:00;0;7,372;6,6;350;0,069
43362,88;2018-09-19;21:00:00;2018-09-19 21:00;0;7,344;6,6;351;0,041
43362,92;2018-09-19;22:00:00;2018-09-19 22:00;0;7,381;6,6;350;0,078
43362,96;2018-09-19;23:00:00;2018-09-19 23:00;0;7,366;6,6;351;0,063
43363,00;2018-09-20;00:00:00;2018-09-20 00:00;0;7,348;6,6;351;0,045
43363,04;2018-09-20;01:00:00;2018-09-20 01:00;0;7,361;6,6;351;0,058
43363,08;2018-09-20;02:00:00;2018-09-20 02:00;0;7,348;6,6;350;0,045
43363,13;2018-09-20;03:00:00;2018-09-20 03:00;0;7,363;6,6;350;0,06
43363,17;2018-09-20;04:00:00;2018-09-20 04:00;0;7,35;6,6;351;0,047
43363,21;2018-09-20;05:00:00;2018-09-20 05:00;0;7,354;6,6;351;0,051
43363,25;2018-09-20;06:00:00;2018-09-20 06:00;0;7,335;6,6;351;0,032
43363,29;2018-09-20;07:00:00;2018-09-20 07:00;0;7,342;6,6;351;0,039
43363,33;2018-09-20;08:00:00;2018-09-20 08:00;0;7,356;6,6;350;0,053
43363,38;2018-09-20;09:00:00;2018-09-20 09:00;0;7,36;6,6;351;0,057
43363,42;2018-09-20;10:00:00;2018-09-20 10:00;0;7,327;6,6;351;0,024
43363,46;2018-09-20;11:00:00;2018-09-20 11:00;0;7,356;6,6;351;0,053
43363,50;2018-09-20;12:00:00;2018-09-20 12:00;0;7,37;6,6;352;0,067
43363,54;2018-09-20;13:00:00;2018-09-20 13:00;0;7,356;6,6;351;0,053
43363,58;2018-09-20;14:00:00;2018-09-20 14:00;0;7,369;6,6;351;0,066
43363,63;2018-09-20;15:00:00;2018-09-20 15:00;0;7,338;6,6;352;0,035
43363,67;2018-09-20;16:00:00;2018-09-20 16:00;0;7,347;6,6;352;0,044
43363,71;2018-09-20;17:00:00;2018-09-20 17:00;0;7,344;6,6;352;0,041
43363,75;2018-09-20;18:00:00;2018-09-20 18:00;0;7,375;6,6;352;0,072
43363,79;2018-09-20;19:00:00;2018-09-20 19:00;0;7,335;6,6;352;0,032
43363,83;2018-09-20;20:00:00;2018-09-20 20:00;0;7,354;6,6;352;0,051
43363,88;2018-09-20;21:00:00;2018-09-20 21:00;0;7,357;6,6;351;0,054
43363,92;2018-09-20;22:00:00;2018-09-20 22:00;0;7,362;6,6;352;0,059
43363,96;2018-09-20;23:00:00;2018-09-20 23:00;0;7,359;6,6;351;0,056
43364,00;2018-09-21;00:00:00;2018-09-21 00:00;0;7,358;6,6;351;0,055
43364,04;2018-09-21;01:00:00;2018-09-21 01:00;0;7,356;6,6;351;0,053
43364,08;2018-09-21;02:00:00;2018-09-21 02:00;0;7,341;6,6;351;0,038
43364,13;2018-09-21;03:00:00;2018-09-21 03:00;0;7,337;6,6;351;0,034
43364,17;2018-09-21;04:00:00;2018-09-21 04:00;0;7,341;6,6;351;0,038
43364,21;2018-09-21;05:00:00;2018-09-21 05:00;0;7,361;6,6;351;0,058
43364,25;2018-09-21;06:00:00;2018-09-21 06:00;0;7,349;6,6;351;0,046
43364,29;2018-09-21;07:00:00;2018-09-21 07:00;0;7,329;6,6;352;0,026
43364,33;2018-09-21;08:00:00;2018-09-21 08:00;0;7,357;6,6;352;0,054
43364,38;2018-09-21;09:00:00;2018-09-21 09:00;0;7,358;6,6;351;0,055
43364,42;2018-09-21;10:00:00;2018-09-21 10:00;0;7,339;6,6;351;0,036
43364,46;2018-09-21;11:00:00;2018-09-21 11:00;0;7,365;6,6;352;0,062
43364,50;2018-09-21;12:00:00;2018-09-21 12:00;0;7,348;6,6;351;0,045
43364,54;2018-09-21;13:00:00;2018-09-21 13:00;0;7,363;6,6;351;0,06
43364,58;2018-09-21;14:00:00;2018-09-21 14:00;0;7,343;6,6;351;0,04
43364,63;2018-09-21;15:00:00;2018-09-21 15:00;0;7,376;6,6;351;0,073
43364,67;2018-09-21;16:00:00;2018-09-21 16:00;0;7,361;6,6;352;0,058
43364,71;2018-09-21;17:00:00;2018-09-21 17:00;0;7,362;6,6;352;0,059
43364,75;2018-09-21;18:00:00;2018-09-21 18:00;0;7,375;6,6;351;0,072
43364,79;2018-09-21;19:00:00;2018-09-21 19:00;0;7,353;6,6;351;0,05
43364,83;2018-09-21;20:00:00;2018-09-21 20:00;0;7,343;6,6;352;0,04
43364,88;2018-09-21;21:00:00;2018-09-21 21:00;0;7,342;6,6;352;0,039
43364,92;2018-09-21;22:00:00;2018-09-21 22:00;0;7,351;6,6;352;0,048
43364,96;2018-09-21;23:00:00;2018-09-21 23:00;0;7,36;6,6;352;0,057
43365,00;2018-09-22;00:00:00;2018-09-22 00:00;0;7,359;6,6;352;0,056
43365,04;2018-09-22;01:00:00;2018-09-22 01:00;0;7,367;6,6;352;0,064
43365,08;2018-09-22;02:00:00;2018-09-22 02:00;0;7,35;6,6;352;0,047
